bat & bowl,team,opposition,ground,match date,scorecard
"79, 1/64",cant women,v auck women,rangiora,25 jan 2015,other od
"11, 2/21",cant women,v nd women,hamilton,18 jan 2015,other od
hamilton,cant women,v nd women,"106, 1/42",17 jan 2015,other od
"0/27, 44",cant women,v nd women,hamilton,16 jan 2015,other t20
"98, 3/16",cant women,v cd women,rangiora,4 jan 2015,other od
"17, 2/24",cant women,v cd women,rangiora,other od,3 jan 2015
"0/16, 5",cant women,v cd women,rangiora,2 jan 2015,other t20
other od,cant women,v auck women,lincoln,29 dec 2014,"74, 3/41"
"2/24, 38",cant women,v auck women,lincoln,28 dec 2014,other od
"2/21, 58",cant women,v auck women,lincoln,27 dec 2014,other t20
