episode number,episode name,viewing progress,airdate
ep14,it's unbeliezeable,,2/12/11
ep13,my fave classics,,2/5/11
ep12,truck stop gourmet,,resolutionary
ep11,,,1/15/11
ep10,1/22/11,,1/8/11
ep9,underground russia,11/6/10,12/18/10
ep8,posh potluck,,12/4/10
ep7,dinner party delights,penny pinching pleasers,11/27/10
ep6,thanksgiving,,11/13/10
ep5,ep1,,
ep4,on the bayou baby,,10/30/10
ep3,getting eggy with it,,10/23/10
ep2,munchie madness,,10/16/10
good morning sunshine,ode to the gastropub,,10/9/10
