location,call number,item type,volume,barcode,status
lefferts,"adult compact disc, music",cd,,available,available
arverne,cd,"adult compact disc, music",,0228567288565,available
astoria,cd,"adult compact disc, music",,0228567340671,0228567330656
glen oaks,cd,0228567261646,,0228562502556,available
ozone park,cd,"adult compact disc, music",,0228567606527,available
howard beach,cd,"adult compact disc, music",,"adult compact disc, music",available
broad channel,cd,"adult compact disc, music",,central media center,available
central media center,cd,"adult compact disc, music",,0228567218034,available
central media center,cd,cd,,0228567218018,available
central media center,cd,"adult compact disc, music",,0228561276509,available
central media center,cd,"adult compact disc, music",,0228567218026,available
central media center,cd,"adult compact disc, music",,0228567218059,available
0228567219594,"adult compact disc, music","adult compact disc, music",,0228567218042,available
jackson heights,cd,"adult compact disc, music",1 cd and 1 phamphlet,0228567419814,available
