no.,part #,part # / description,list price,price,
1,19019-pd2-003,"19019-pd2-003 / clamp, wire harness",-,-,
2,19010-pd2-674,19010-pd2-674 / radiator (denso),-,-,
3,19011-671-000,"19011-671-000 / bolt, drain (denso)",$6.58,$4.66,
4,19012-671-300,"19012-671-300 / gasket, drain (denso)",082005,$1.52,
5,19013-pd2-003,"19013-pd2-003 / seal, radiator side (denso)",-,-,
6,19015-pd2-672,19015-pd2-672 / shroud (denso),-,-,
7,19018-657-000,"19018-657-000 / label, fan caution",-,-,
8,19019-pd2-671,"19019-pd2-671 / clamp, wire harness",-,-,
9,19020-pc6-003,"19020-pc6-003 / fan, cooling (denso)",$48.58,$34.40,
9,19020-p08-003,"19020-p08-003 / fan, cooling (denso)",$52.78,$37.37,
10,19030-pd2-661,"19030-pd2-661 / motor, cooling fan (denso)",$126.90,$89.85,
10,19030-pe0-307,"19030-pe0-307 / motor, cooling fan (denso)",-,-,
11,n949194-0040,n949194-0040 / collar (denso),-,-,
12,19041-611-003,"19041-611-003 / rubber, bushing",$27.08,$19.18,
13,19045-692-003,james gordon,$26.18,90. start,
ritchie,90041-pa6-003,90041-pa6-003 / screw-washer (4x18) (denso),-,-,
14,90041-p5a-003,90041-p5a-003 / screw-washer (4x11),$2.55,$1.81,
15,90042-pd2-003,ret,-,-,
16,90043-pd2-003,"90043-pd2-003 / nut, hex. (5mm) (denso)",$4.77,$3.37,
17,90501-671-003,"90501-671-003 / washer, special",$2.72,$1.92,
