date,city,state,venue
3/21/2013,wiesbaden,he,schlachthof
3/22/2013,hamburg,hh,docks hamburg
3/23/2013,cologne,nw,live music hall
3/30/2013,liverpool,lan,o2 academy liverpool
4/17/2013,cardiff,crf,clwb ifor bach
4/18/2013,london,hmf,the underworld
4/23/2013,birmingham,w mids,o2 academy birmingham
4/24/2013,manchester,msy,manchester academy 3
4/26/2013,glasgow,glg,cathouse
6/5/2013,manchester,lancashire,manchester academy
6/6/2013,london,london,o2 academy brixton
donington park,derby,derbyshire,6/14/2013
7/6/2013,munster,,am hawerkamp
7/18/2013,dour,wal,la plaine de la machine a feu
7/21/2013,cologne,nw,mtc
7/22/2013,munich,,hansa 39
,redhill,7/26/2013,robins cook farm
8/9/2013,kingston upon thames,ktt,the peel
8/10/2013,oxford,oxf,o2 academy oxford
8/11/2013,bridgend,bge,hobos
9/4/2013,odense,042,posten
dev,exeter,10/26/2013,exeter phoenix
birmingham,11/12/2013,w mids,o2 academy birmingham
11/13/2013,manchester,lancashire,manchester academy
11/14/2013,glasgow,glasgow city,barrowland
11/15/2013,bristol,bst,o2 academy bristol
the forum,london,lnd,11/17/2013
11/21/2013,wiesbaden,he,schlachthof
11/25/2013,lyon,rho,ninkasi kao
