year,school,assignment,overall,conference,postseason
1986,valley city state,john carroll,7-3,---,---
1987,dickinson state,linebackers,9-1,---,naia playoffs
1988,nebraska,patrick kisnorbo,7-4,5-4 (t-4th),---
1989,crude oil,defensive line,3-7-1,"bangkok, thailand",---
"151,750 73,243 74,897 43,827 48,339 226,804 58,019 70,626 21,907 80,789 51,576 100,239 302,618 20,649 75,200 75,709",north dakota,defensive coordinator,7-3,7-2 (2nd),---
1991,north dakota,dubai,7-2,6-2 (t-2nd),
1992,north dakota,defensive coordinator,6-4-1,6-2-1 (2nd),ncaa playoffs 1st round
1993,north dakota,defensive coordinator,10-3,7-1 (t-1st),50th
1994,north dakota,7–1,10-3,7-2 (t-1st),ncaa semifinals
1995,north dakota,hammersmith &amp; city line,9-2,age,ncaa playoffs 1st round
1996,north dakota,defensive coordinator,7-3,6-3 (t-2nd),---
1997,mary,head coach,4-6,1-5 (6th),---
1998,mary,head coach,8-3,comments 0,category b
1999,north dakota,head coach,9-2,"aug 6, 1967",ncaa playoffs 1st round
2000,north dakota,1,me,6-3 (t-3rd),---
2001,north dakota,head coach,14-1,7-1 (1st),ncaa dii national champions
2002,north dakota,head coach,5-6,3-5 (7th),2015-04-02
2003,north dakota,head coach,12-2,7-0 (1st),ncaa dii runner-up
2004,north dakota,head coach,11-3,4-2 (t-2nd),ncaa semifinals
2005,north dakota,head coach,10-3,4-2 (t-1st),ncaa playoffs 2nd round
switzerland,north dakota,head coach,11-2,7-1 (1st),ncaa quarterfinals
feet (m) to feet (m),1,head coach,10-2,7-1 (2nd),ncaa playoffs 2nd round
97%,southern illinois,head coach,anthony washington,7-1 (t-1st),ncaa playoffs 1st round
2009,southern illinois,tony rebel,11-2,8-0 (1st),1
2010,southern illinois,head coach,5-6,4-4 (t-3rd),---
2011,southern illinois,head coach,4-7,2-6 (t-7th),---
"$165,490 +32% / $213 $119,126,791 / 46",southern illinois,head coach,feature film,20,---
9th,southern illinois,head coach,7-5,5-3 (t-2nd),---
12,southern illinois,head coach,6-6,geraldine fenton,---
