name,level,req. level,pieces,type,class
sumter,78-88,60,,leather,druid
garments of the oracle,78-88,60,,cloth,oct 10
enigma vestments,78-88,60,,cloth,mage
doomcaller's attire,78-88,60,,cloth,warlock
2,78-88,60,,category:piracy,45
conqueror's battlegear,78-88,60,,plate,warrior
private,78-88,0,,plate,mt mattheos i
wild draenish armor,84-105,57-65,,leather,
thick draenic armor,84-105,"college park, md.",,leather,
scaled draenic armor,84-108,57-66,,mail,
felscale armor,84-108,57-66,,mail,
2,86-92,60,,"cloth, ring",priest
the earthshatterer,86-92,60,,nissan silvia s15,shaman
redemption armor,86-92,我々,,"plate, ring",nfc central
plagueheart raiment,86-92,60,,"cloth, ring",31 august 1962
frostfire regalia,86-92,60,,"cloth, ring",mage
domestic,86-92,60,,"leather, ring",druid
dreadnaught's battlegear,86-92,60,,"plate, ring",warrior
cryptstalker armor,86-92,60,,"mail, ring",hunter
al kuwayt / kuwait,1945–46,60,,"leather, ring",rogue
fel iron plate,90-102,61-64,,8,
fel iron chain,90-99,60-63,,mail,
netherweave vestments,93-114,61-68,,kenny robert van hummel,
fury of the nether,100-106,67-69,,mail,
the twin stars,100,date of attack,,"necklace, ring",
soulcloth embrace,100,70,,cloth,
adamantite battlegear,103-106,66-67,,plate,
wrath of spellfire,105,70,,cloth,
whitemend wisdom,105,70,,cloth,
