episode number,episode name,viewing progress,airdate
ep14,it's unbeliezeable,,2/12/11
ep13,my fave classics,,2/5/11
ep12,truck stop gourmet,,1/22/11
ep11,penny pinching pleasers,,1/15/11
ep10,resolutionary,,1/8/11
ep9,underground russia,,12/18/10
ep8,posh potluck,,12/4/10
ep7,dinner party delights,,11/27/10
ep6,thanksgiving,,11/13/10
ep5,good morning sunshine,,11/6/10
ep4,on the bayou baby,,10/30/10
ep3,getting eggy with it,,10/23/10
ep2,munchie madness,,10/16/10
ep1,ode to the gastropub,,10/9/10
