location,call number,item type,volume,barcode,status
lefferts,cd,"adult compact disc, music",,0228567330656,available
arverne,cd,"adult compact disc, music",,0228567288565,available
astoria,cd,"adult compact disc, music",,0228567340671,available
glen oaks,cd,"adult compact disc, music",,0228562502556,available
ozone park,cd,"adult compact disc, music",,0228567606527,available
howard beach,cd,"adult compact disc, music",,0228567261646,available
broad channel,cd,"adult compact disc, music",,0228567219594,available
central media center,cd,"adult compact disc, music",,0228567218034,available
central media center,cd,"adult compact disc, music",,0228567218018,available
central media center,cd,"adult compact disc, music",,0228561276509,available
central media center,cd,"adult compact disc, music",,0228567218026,available
central media center,cd,"adult compact disc, music",,0228567218059,available
central media center,cd,"adult compact disc, music",,0228567218042,available
jackson heights,cd,"adult compact disc, music",1 cd and 1 phamphlet,0228567419814,available
