date,city,state,venue
9/26/2012,ottawa,on,mavericks
10/9/2012,buffalo,ny,mohawk place
10/11/2012,saint louis,mo,fubar
10/13/2012,dallas,tx,south side ballroom
10/15/2012,nashville,tn,rocketown
10/22/2012,eindhoven,nb,kafee aloys
10/23/2012,trier,,exhaus
10/24/2012,frankfurt am main,he,elfer music club
10/26/2012,zizers,gr,event stage
10/27/2012,comacchio,fe,voodoo arci
10/30/2012,dessau,st,beatclub
10/31/2012,nurnberg,by,desi
11/1/2012,wolfsburg,ni,d-place
11/2/2012,cologne,nw,mtc
11/3/2012,paris,ville de paris,trabendo
11/6/2012,prague,,007 club
11/7/2012,linz,4,ann and pat
