date,opponent,score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,yds,td,brup,blk,saf
aug 31,at catholic,"l, 45-28",-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-
sep 8,at moravian,"l, 21-7",-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-
sep 15,muhlenberg,"l, 33-0",-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-
sep 22,ursinus,"l, 40-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-
sep 29,at gettysburg,"l, 35-3",1,0,1,-,-,0,-,-,-,-,-,-,-,-,-,-
oct 13,at franklin & marshall,"l, 35-10",-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-
oct 20,dickinson,"l, 38-31",-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-
oct 27,at juniata,"l, 24-7",-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-
nov 3,susquehanna,"l, 42-38",1,0,1,-,-,0,-,-,-,-,-,-,-,-,-,-
nov 10,at johns hopkins,"l, 49-7",-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-
