nearby homes,zestimate,beds,baths,sqft
"1516 ridge ave reading, pa",$94k,3,1,878
"1508 ridge ave reading, pa",$109k,2,1,"1,105"
"1514 ridge ave shillington, pa",$172k,3,3.5,"1,579"
"1506 ridge ave reading, pa",$129k,3,1.5,"1,176"
"1518 ridge ave shillington, pa",$186k,3,4,"2,329"
"528 pershing blvd reading, pa",$156k,3,1.5,"1,812"
"524 pershing blvd reading, pa",$106k,3,1,"1,030"
"1519 ridge ave reading, pa",$92k,2,1,980
"1521 ridge ave reading, pa",$92k,2,1,864
"532 pershing blvd reading, pa",$102k,3,1,739
"1515 ridge ave reading, pa",$98k,2,1,"1,127"
"1521 ridge ave # a shillington, pa",$91k,3,1,"1,120"
"1520 ridge ave reading, pa",$145k,3,1,"1,380"
"1511 ridge ave reading, pa",$104k,1,1,"1,207"
"1523 ridge ave # a reading, pa",$101k,3,2,"1,120"
"1509a ridge ave reading, pa",$94k,2,1.5,960
"520 pershing blvd reading, pa",$129k,3,2,"1,152"
"536 pershing blvd reading, pa",$113k,3,1.5,720
"1500 ridge ave reading, pa",$139k,2,2,"1,200"
"1525 ridge ave reading, pa",$92k,3,1,974
