language,availability,author
english,included,julien manici
french,included,julien manici
bulgarian,manual update,vilio-cv
chinese (simplified),manual update,ä»»é¹?
chinese (traditional),manual download,"vinix. download from ""www.julien-manici.com/download/wrm/languages/zh-tw"", then copy the ""zh-tw"" file to ""\program files\wifi remote access\res\languages\"" and rename it to ""zh""."
czech,manual update,pernï¿½k
danish,manual update,ratzai yaghoub
dutch,manual update,thanks to sanity & timothy and daman brett who both sent me a translation
german,manual update,"thanks to dennis nolte, morpheus, technobrain and starbase64 who all sent me a translation"
greek,manual update,bernikolas marios
hungarian,manual update,gidano
italian,manual update,thanks to mirco carraro and umberto d\'agnone who both sent me a translation
korean,manual update,jeongsik yu.
polish,manual update,jurek pilniewicz
portuguese,manual update,jorge vila
romanian,manual update,florin7franky (on xda-developers)
russian,manual update,ðð°ð´ð¸ð¼ ðð¾ð³ð°ð¹ñ?ðºð¾ð²
slovenian,manual update,jurcek
spanish,manual update,jorge vila
