cart icon,activity,description,ages,dates,days,time,fees,status,single icon
read notice,206190-a,lil' builders,3 years to under 6 years,06/15/15 - 06/19/15,m-f,1:00 a - 12:00 p,$70/$75,unavailable,item details
add to cart,206190-aa,horse care camp,9 years and up,08/11/15 - 08/13/15,tu-th,8:00 a - 1:00 p,$185/$190,available,item details
read notice,206190-bb,robotics 101 camp,6 years to under 12 years,08/17/15 - 08/21/15,m-f,9:00 a - 12:00 p,$165/$170,full,item details
read notice,206190-c,camp clay creators,9 years to under 16 years,06/15/15 - 06/19/15,m-f,2:00 p - 4:30 p,$90/$95,waitlist,item details
add to cart,206190-cc,cops camp,10 years to under 14 years,08/17/15 - 08/21/15,m-f,9:00 a - 3:00 p,$125/$130,waitlist,item details
read notice,206190-d,camp clay mud pies,5 years to under 10 years,06/22/15 - 06/26/15,m-f,9:00 a - 11:30 a,$90/$95,waitlist,item details
add to cart,206190-dd,advanced robotics,11 years to 16 years 8 months,08/17/15 - 08/21/15,m-f,1:00 p - 4:00 p,$190/$195,available,item details
read notice,206190-e,beginner cake decora,7 years to under 13 years,06/22/15 - 06/26/15,"m, tu, th, f",9:00 a - 12:00 p,$115/$120,waitlist,item details
add to cart,206190-ee,preschool camp choco,3 years to under 6 years,08/24/15 - 08/28/15,"m, tu, th, f",10:00 a - 12:00 p,$55/$60,available,item details
read notice,206190-f,intermediate cake de,7 years to under 14 years,06/22/15 - 06/26/15,"m, tu, th, f",1:00 p - 4:00 p,$115/$120,waitlist,item details
add to cart,206190-ff,kid's dessert camp,7 years to under 13 years,08/24/15 - 08/28/15,"m, tu, th, f",1:00 p - 4:00 p,$105/$110,waitlist,item details
read notice,206190-tt,kids dessert camp,7 years to under 13 years,08/12/13 - 08/16/13,"m, tu, th, f",1:00 p - 4:00 p,$105/$110,unavailable,item details
read notice,206190-y,camp chocolate,7 years to under 13 years,08/10/15 - 08/14/15,"m, tu, th, f",9:00 a - 12:00 p,$105/$110,full,item details
add to cart,206190-z,kid's advanced cake,9 years to under 15 years,08/10/15 - 08/14/15,"m, tu, th, f",1:00 p - 4:00 p,$115/$120,available,item details
