name,level,req. level,pieces,type,class
genesis raiment,78-88,60,,leather,druid
garments of the oracle,78-88,60,,cloth,priest
enigma vestments,78-88,60,,cloth,mage
doomcaller's attire,78-88,60,,cloth,warlock
deathdealer's embrace,78-88,60,,leather,rogue
conqueror's battlegear,78-88,60,,plate,warrior
avenger's battlegear,78-88,60,,plate,paladin
wild draenish armor,84-105,57-65,,leather,
thick draenic armor,84-105,57-65,,leather,
scaled draenic armor,84-108,57-66,,mail,
felscale armor,84-108,57-66,,mail,
vestments of faith,86-92,60,,"cloth, ring",priest
the earthshatterer,86-92,60,,"mail, ring",shaman
redemption armor,86-92,60,,"plate, ring",paladin
plagueheart raiment,86-92,60,,"cloth, ring",warlock
frostfire regalia,86-92,60,,"cloth, ring",mage
dreamwalker raiment,86-92,60,,"leather, ring",druid
dreadnaught's battlegear,86-92,60,,"plate, ring",warrior
cryptstalker armor,86-92,60,,"mail, ring",hunter
bonescythe armor,86-92,60,,"leather, ring",rogue
fel iron plate,90-102,61-64,,plate,
fel iron chain,90-99,60-63,,mail,
netherweave vestments,93-114,61-68,,cloth,
fury of the nether,100-106,67-69,,mail,
the twin stars,100,70,,"necklace, ring",
soulcloth embrace,100,70,,cloth,
adamantite battlegear,103-106,66-67,,plate,
wrath of spellfire,105,70,,cloth,
whitemend wisdom,105,70,,cloth,
